GEO_ID,NAME,MEDIAN_INCOME
0500000US01001,Autauga County,201
0500000US01003,Baldwin County,361
0500000US01005,Barbour County,146
0500000US01007,Bibb County,72
0500000US01009,Blount County,135
0500000US01011,Bullock County,68
0500000US01013,Butler County,38
0500000US01015,Calhoun County,252
0500000US01017,Chambers County,154
0500000US01019,Cherokee County,75
0500000US01021,Chilton County,185
0500000US01023,Choctaw County,117
0500000US01025,Clarke County,104
0500000US01027,Clay County,95
0500000US01029,Cleburne County,97
0500000US01031,Coffee County,215
0500000US01033,Colbert County,353
0500000US01035,Conecuh County,110
0500000US01037,Coosa County,72
0500000US01039,Covington County,111
0500000US01041,Crenshaw County,123
0500000US01043,Cullman County,241
0500000US01045,Dale County,184
0500000US01047,Dallas County,194
0500000US01049,DeKalb County,176
0500000US01051,Elmore County,232
0500000US01053,Escambia County,164
0500000US01055,Etowah County,219
0500000US01057,Fayette County,33
0500000US01059,Franklin County,123
0500000US01061,Geneva County,135
0500000US01063,Greene County,19
0500000US01065,Hale County,46
0500000US01067,Henry County,62
0500000US01069,Houston County,145
0500000US01071,Jackson County,127
0500000US01073,Jefferson County,843
0500000US01075,Lamar County,56
0500000US01077,Lauderdale County,408
0500000US01079,Lawrence County,161
0500000US01081,Lee County,605
0500000US01083,Limestone County,284
0500000US01085,Lowndes County,61
0500000US01087,Macon County,141
0500000US01089,Madison County,717
0500000US01091,Marengo County,110
0500000US01093,Marion County,118
0500000US01095,Marshall County,153
0500000US01097,Mobile County,589
0500000US01099,Monroe County,136
0500000US01101,Montgomery County,461
0500000US01103,Morgan County,300
0500000US01105,Perry County,146
0500000US01107,Pickens County,73
0500000US01109,Pike County,250
0500000US01111,Randolph County,130
0500000US01113,Russell County,288
0500000US01115,St. Clair County,230
0500000US01117,Shelby County,312
0500000US01119,Sumter County,92
0500000US01121,Talladega County,232
0500000US01123,Tallapoosa County,106
0500000US01125,Tuscaloosa County,862
0500000US01127,Walker County,191
0500000US01129,Washington County,114
0500000US01131,Wilcox County,47
0500000US01133,Winston County,108
0500000US26001,Alcona County,27
0500000US26003,Alger County,57
0500000US26005,Allegan County,240
0500000US26007,Alpena County,105
0500000US26009,Antrim County,116
0500000US26011,Arenac County,47
0500000US26013,Baraga County,70
0500000US26015,Barry County,138
0500000US26017,Bay County,179
0500000US26019,Benzie County,55
0500000US26021,Berrien County,335
0500000US26023,Branch County,125
0500000US26025,Calhoun County,248
0500000US26027,Cass County,121
0500000US26029,Charlevoix County,140
0500000US26031,Cheboygan County,67
0500000US26033,Chippewa County,173
0500000US26035,Clare County,92
0500000US26037,Clinton County,175
0500000US26039,Crawford County,70
0500000US26041,Delta County,99
0500000US26043,Dickinson County,147
0500000US26045,Eaton County,224
0500000US26047,Emmet County,165
0500000US26049,Genesee County,644
0500000US26051,Gladwin County,70
0500000US26053,Gogebic County,57
0500000US26055,Grand Traverse County,234
0500000US26057,Gratiot County,169
0500000US26059,Hillsdale County,90
0500000US26061,Houghton County,294
0500000US26063,Huron County,92
0500000US26065,Ingham County,772
0500000US26067,Ionia County,152
0500000US26069,Iosco County,84
0500000US26071,Iron County,43
0500000US26073,Isabella County,321
0500000US26075,Jackson County,347
0500000US26077,Kalamazoo County,757
0500000US26079,Kalkaska County,70
0500000US26081,Kent County,805
0500000US26083,Keweenaw County,9
0500000US26085,Lake County,61
0500000US26087,Lapeer County,160
0500000US26089,Leelanau County,34
0500000US26091,Lenawee County,187
0500000US26093,Livingston County,266
